val40,val30,val20,val10,val0
2.2246110252487073e-08,2.1818318221396968e-08,2.767456099331025e-08,3.7567751699692975e-08,2.9178307537789543e-08
3.824133095542886e-08,2.1812629306069412e-08,2.0380239412470682e-08,2.0317391820860987e-08,2.7122100826027733e-08
2.3271936651788446e-08,2.368800945669148e-08,3.5890068460472026e-08,2.0558712417517244e-08,2.932740131778451e-08
2.073027594194284e-08,2.0183307018808884e-08,3.0099760456335627e-08,2.1753211853535362e-08,3.3871567674379275e-08
1.968528467565912e-08,2.124681423611415e-08,2.1036260445385042e-08,2.683188254045077e-08,3.2427128420930096e-08
2.1558919788251616e-08,7.132312801344409e-08,2.0967341559806058e-08,2.218569085554324e-08,3.061729750010849e-08
2.277321393086099e-08,2.2614060350736305e-08,2.2782676838051426e-08,2.1898934714775256e-08,3.312795145328854e-08
2.6432790648921905e-08,2.2163742588530926e-08,2.233973378415625e-08,3.7086568998516936e-08,3.148976874208727e-08
2.1199863930717206e-08,2.0388604894834412e-08,2.200249691045974e-08,2.1014359471978234e-08,3.597532690658442e-08
2.7203302198697282e-08,2.050278843957695e-08,2.361339149431251e-08,2.5784306833208922e-08,3.3443137847975885e-08
