val40,val30,val20,val10,val0
8.857201401892885e-05,9.52328298305811e-05,8.765580047137475e-05,8.739478020463442e-05,9.53978098883056e-05
8.989162435268992e-05,9.005797959317804e-05,8.824188360442448e-05,8.843658008429347e-05,9.166898128098835e-05
9.030728893944316e-05,8.781095879363181e-05,8.910398282059599e-05,8.979905490743503e-05,9.2664434729851e-05
8.981225183324675e-05,9.001576807649033e-05,8.918031860545895e-05,8.894114103663033e-05,9.345599165833424e-05
8.899896258714955e-05,8.946708983793051e-05,9.025954363520392e-05,8.931507398620821e-05,9.139241520245646e-05
8.741394234076659e-05,8.910987252694108e-05,8.97550595739597e-05,9.162256617220798e-05,9.282343245630911e-05
8.857997863091447e-05,9.071207139560848e-05,9.09952930730413e-05,8.947741701884443e-05,9.238350952628724e-05
8.8040245779836e-05,8.891692113675911e-05,9.078482096082562e-05,9.012217365335811e-05,9.236986589965144e-05
9.12414400622997e-05,8.837044353992921e-05,8.940539928903923e-05,8.892562941403679e-05,0.0003132952317310117
8.927049398476446e-05,8.741458185093893e-05,8.893151430936421e-05,9.0520103673833e-05,9.369780212574197e-05
